id,transactions
227,"[{'order_id': 1168, 'purchase_value': 17.98, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1169, 'purchase_value': 56.75, 'discount_value': 5.68, 'applies_discount': True}, {'order_id': 1170, 'purchase_value': 146.97, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1171, 'purchase_value': 78.36, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1172, 'purchase_value': 36.59, 'discount_value': 3.66, 'applies_discount': True}, {'order_id': 1173, 'purchase_value': 176.88, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1174, 'purchase_value': 115.74, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1175, 'purchase_value': 143.02, 'discount_value': 0.0, 'applies_discount': False}]"
228,"[{'order_id': 1176, 'purchase_value': 107.64, 'discount_value': 10.76, 'applies_discount': True}, {'order_id': 1177, 'purchase_value': 69.57, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1178, 'purchase_value': 34.54, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1179, 'purchase_value': 114.26, 'discount_value': 0.0, 'applies_discount': False}]"
229,"[{'order_id': 1180, 'purchase_value': 173.72, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1181, 'purchase_value': 85.75, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1182, 'purchase_value': 76.16, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1183, 'purchase_value': 88.87, 'discount_value': 8.89, 'applies_discount': True}, {'order_id': 1184, 'purchase_value': 107.41, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1185, 'purchase_value': 88.86, 'discount_value': 8.89, 'applies_discount': True}, {'order_id': 1186, 'purchase_value': 73.04, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1187, 'purchase_value': 170.66, 'discount_value': 17.07, 'applies_discount': True}, {'order_id': 1188, 'purchase_value': 86.49, 'discount_value': 8.65, 'applies_discount': True}]"
230,"[{'order_id': 1189, 'purchase_value': 73.03, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1190, 'purchase_value': 12.86, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1191, 'purchase_value': 134.41, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1192, 'purchase_value': 95.22, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1193, 'purchase_value': 105.42, 'discount_value': 10.54, 'applies_discount': True}, {'order_id': 1194, 'purchase_value': 108.9, 'discount_value': 10.89, 'applies_discount': True}, {'order_id': 1195, 'purchase_value': 199.33, 'discount_value': 0.0, 'applies_discount': False}]"
231,"[{'order_id': 1196, 'purchase_value': 60.1, 'discount_value': 6.01, 'applies_discount': True}, {'order_id': 1197, 'purchase_value': 31.69, 'discount_value': 3.17, 'applies_discount': True}, {'order_id': 1198, 'purchase_value': 186.92, 'discount_value': 18.69, 'applies_discount': True}, {'order_id': 1199, 'purchase_value': 17.44, 'discount_value': 1.74, 'applies_discount': True}, {'order_id': 1200, 'purchase_value': 28.93, 'discount_value': 2.89, 'applies_discount': True}, {'order_id': 1201, 'purchase_value': 170.76, 'discount_value': 17.08, 'applies_discount': True}, {'order_id': 1202, 'purchase_value': 63.02, 'discount_value': 6.3, 'applies_discount': True}, {'order_id': 1203, 'purchase_value': 86.15, 'discount_value': 8.62, 'applies_discount': True}, {'order_id': 1204, 'purchase_value': 130.98, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1205, 'purchase_value': 88.36, 'discount_value': 8.84, 'applies_discount': True}]"
232,"[{'order_id': 1206, 'purchase_value': 110.58, 'discount_value': 11.06, 'applies_discount': True}]"
233,"[{'order_id': 1207, 'purchase_value': 13.35, 'discount_value': 1.33, 'applies_discount': True}, {'order_id': 1208, 'purchase_value': 130.62, 'discount_value': 13.06, 'applies_discount': True}, {'order_id': 1209, 'purchase_value': 86.51, 'discount_value': 8.65, 'applies_discount': True}, {'order_id': 1210, 'purchase_value': 163.67, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1211, 'purchase_value': 60.89, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1212, 'purchase_value': 122.68, 'discount_value': 12.27, 'applies_discount': True}, {'order_id': 1213, 'purchase_value': 135.98, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1214, 'purchase_value': 176.42, 'discount_value': 17.64, 'applies_discount': True}, {'order_id': 1215, 'purchase_value': 71.86, 'discount_value': 7.19, 'applies_discount': True}]"
234,"[{'order_id': 1216, 'purchase_value': 25.89, 'discount_value': 2.59, 'applies_discount': True}, {'order_id': 1217, 'purchase_value': 123.69, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1218, 'purchase_value': 119.68, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1219, 'purchase_value': 79.84, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1220, 'purchase_value': 131.53, 'discount_value': 13.15, 'applies_discount': True}]"
235,"[{'order_id': 1221, 'purchase_value': 29.74, 'discount_value': 2.97, 'applies_discount': True}, {'order_id': 1222, 'purchase_value': 91.11, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1223, 'purchase_value': 97.36, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1224, 'purchase_value': 123.06, 'discount_value': 12.31, 'applies_discount': True}, {'order_id': 1225, 'purchase_value': 114.62, 'discount_value': 11.46, 'applies_discount': True}, {'order_id': 1226, 'purchase_value': 194.3, 'discount_value': 19.43, 'applies_discount': True}, {'order_id': 1227, 'purchase_value': 188.42, 'discount_value': 18.84, 'applies_discount': True}, {'order_id': 1228, 'purchase_value': 58.48, 'discount_value': 5.85, 'applies_discount': True}, {'order_id': 1229, 'purchase_value': 73.54, 'discount_value': 7.35, 'applies_discount': True}, {'order_id': 1230, 'purchase_value': 86.1, 'discount_value': 8.61, 'applies_discount': True}]"
236,"[{'order_id': 1231, 'purchase_value': 138.8, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1232, 'purchase_value': 185.42, 'discount_value': 18.54, 'applies_discount': True}, {'order_id': 1233, 'purchase_value': 94.33, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1234, 'purchase_value': 45.25, 'discount_value': 4.53, 'applies_discount': True}]"
237,"[{'order_id': 1235, 'purchase_value': 122.32, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1236, 'purchase_value': 17.83, 'discount_value': 1.78, 'applies_discount': True}]"
238,"[{'order_id': 1237, 'purchase_value': 82.7, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1238, 'purchase_value': 65.75, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1239, 'purchase_value': 100.28, 'discount_value': 0.0, 'applies_discount': False}]"
239,"[{'order_id': 1240, 'purchase_value': 124.44, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1241, 'purchase_value': 129.37, 'discount_value': 12.94, 'applies_discount': True}, {'order_id': 1242, 'purchase_value': 143.27, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1243, 'purchase_value': 54.34, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1244, 'purchase_value': 156.0, 'discount_value': 0.0, 'applies_discount': False}]"
240,"[{'order_id': 1245, 'purchase_value': 111.09, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1246, 'purchase_value': 95.15, 'discount_value': 0.0, 'applies_discount': False}]"
241,"[{'order_id': 1247, 'purchase_value': 139.78, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1248, 'purchase_value': 88.06, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1249, 'purchase_value': 168.78, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1250, 'purchase_value': 103.8, 'discount_value': 0.0, 'applies_discount': False}]"
242,"[{'order_id': 1251, 'purchase_value': 82.9, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1252, 'purchase_value': 101.67, 'discount_value': 10.17, 'applies_discount': True}, {'order_id': 1253, 'purchase_value': 108.79, 'discount_value': 10.88, 'applies_discount': True}, {'order_id': 1254, 'purchase_value': 199.21, 'discount_value': 19.92, 'applies_discount': True}, {'order_id': 1255, 'purchase_value': 140.26, 'discount_value': 0.0, 'applies_discount': False}]"
243,"[{'order_id': 1256, 'purchase_value': 155.17, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1257, 'purchase_value': 14.22, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1258, 'purchase_value': 63.78, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1259, 'purchase_value': 121.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1260, 'purchase_value': 179.96, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1261, 'purchase_value': 51.41, 'discount_value': 0.0, 'applies_discount': False}]"
244,"[{'order_id': 1262, 'purchase_value': 110.2, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1263, 'purchase_value': 170.5, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1264, 'purchase_value': 78.25, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1265, 'purchase_value': 12.78, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1266, 'purchase_value': 80.23, 'discount_value': 8.02, 'applies_discount': True}, {'order_id': 1267, 'purchase_value': 111.63, 'discount_value': 11.16, 'applies_discount': True}, {'order_id': 1268, 'purchase_value': 94.6, 'discount_value': 9.46, 'applies_discount': True}]"
245,"[{'order_id': 1269, 'purchase_value': 174.96, 'discount_value': 17.5, 'applies_discount': True}, {'order_id': 1270, 'purchase_value': 27.17, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1271, 'purchase_value': 37.1, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1272, 'purchase_value': 71.98, 'discount_value': 7.2, 'applies_discount': True}, {'order_id': 1273, 'purchase_value': 88.14, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1274, 'purchase_value': 67.51, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1275, 'purchase_value': 42.06, 'discount_value': 4.21, 'applies_discount': True}, {'order_id': 1276, 'purchase_value': 17.44, 'discount_value': 1.74, 'applies_discount': True}]"
246,"[{'order_id': 1277, 'purchase_value': 11.16, 'discount_value': 1.12, 'applies_discount': True}]"
247,"[{'order_id': 1278, 'purchase_value': 27.46, 'discount_value': 2.75, 'applies_discount': True}]"
248,"[{'order_id': 1279, 'purchase_value': 84.05, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1280, 'purchase_value': 127.76, 'discount_value': 12.78, 'applies_discount': True}, {'order_id': 1281, 'purchase_value': 77.17, 'discount_value': 7.72, 'applies_discount': True}, {'order_id': 1282, 'purchase_value': 132.14, 'discount_value': 13.21, 'applies_discount': True}, {'order_id': 1283, 'purchase_value': 36.58, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1284, 'purchase_value': 71.32, 'discount_value': 0.0, 'applies_discount': False}]"
249,"[{'order_id': 1285, 'purchase_value': 66.58, 'discount_value': 6.66, 'applies_discount': True}, {'order_id': 1286, 'purchase_value': 157.55, 'discount_value': 15.76, 'applies_discount': True}, {'order_id': 1287, 'purchase_value': 169.78, 'discount_value': 16.98, 'applies_discount': True}, {'order_id': 1288, 'purchase_value': 50.77, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1289, 'purchase_value': 160.21, 'discount_value': 16.02, 'applies_discount': True}, {'order_id': 1290, 'purchase_value': 12.46, 'discount_value': 1.25, 'applies_discount': True}]"
250,"[{'order_id': 1291, 'purchase_value': 150.39, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1292, 'purchase_value': 94.62, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1293, 'purchase_value': 13.1, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1294, 'purchase_value': 138.58, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1295, 'purchase_value': 147.78, 'discount_value': 14.78, 'applies_discount': True}, {'order_id': 1296, 'purchase_value': 116.74, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1297, 'purchase_value': 111.55, 'discount_value': 0.0, 'applies_discount': False}]"
251,"[{'order_id': 1298, 'purchase_value': 23.73, 'discount_value': 2.37, 'applies_discount': True}]"
252,"[{'order_id': 1299, 'purchase_value': 137.43, 'discount_value': 13.74, 'applies_discount': True}, {'order_id': 1300, 'purchase_value': 84.67, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1301, 'purchase_value': 26.72, 'discount_value': 2.67, 'applies_discount': True}]"
253,"[{'order_id': 1302, 'purchase_value': 143.52, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1303, 'purchase_value': 148.14, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1304, 'purchase_value': 132.9, 'discount_value': 13.29, 'applies_discount': True}, {'order_id': 1305, 'purchase_value': 116.69, 'discount_value': 11.67, 'applies_discount': True}]"
254,"[{'order_id': 1306, 'purchase_value': 107.64, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1307, 'purchase_value': 123.48, 'discount_value': 12.35, 'applies_discount': True}]"
255,"[{'order_id': 1308, 'purchase_value': 184.18, 'discount_value': 0.0, 'applies_discount': False}]"
256,"[{'order_id': 1309, 'purchase_value': 29.92, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1310, 'purchase_value': 190.88, 'discount_value': 19.09, 'applies_discount': True}, {'order_id': 1311, 'purchase_value': 102.01, 'discount_value': 10.2, 'applies_discount': True}]"
257,"[{'order_id': 1312, 'purchase_value': 112.8, 'discount_value': 11.28, 'applies_discount': True}, {'order_id': 1313, 'purchase_value': 93.57, 'discount_value': 9.36, 'applies_discount': True}, {'order_id': 1314, 'purchase_value': 58.99, 'discount_value': 5.9, 'applies_discount': True}, {'order_id': 1315, 'purchase_value': 180.61, 'discount_value': 18.06, 'applies_discount': True}, {'order_id': 1316, 'purchase_value': 164.93, 'discount_value': 16.49, 'applies_discount': True}]"
258,"[{'order_id': 1317, 'purchase_value': 141.97, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1318, 'purchase_value': 83.17, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1319, 'purchase_value': 90.7, 'discount_value': 9.07, 'applies_discount': True}, {'order_id': 1320, 'purchase_value': 124.34, 'discount_value': 12.43, 'applies_discount': True}, {'order_id': 1321, 'purchase_value': 150.01, 'discount_value': 0.0, 'applies_discount': False}]"
259,"[{'order_id': 1322, 'purchase_value': 62.19, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1323, 'purchase_value': 12.22, 'discount_value': 0.0, 'applies_discount': False}]"
260,"[{'order_id': 1324, 'purchase_value': 139.68, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1325, 'purchase_value': 46.65, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1326, 'purchase_value': 47.55, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1327, 'purchase_value': 26.92, 'discount_value': 2.69, 'applies_discount': True}, {'order_id': 1328, 'purchase_value': 104.56, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1329, 'purchase_value': 143.94, 'discount_value': 14.39, 'applies_discount': True}]"
261,"[{'order_id': 1330, 'purchase_value': 172.16, 'discount_value': 17.22, 'applies_discount': True}, {'order_id': 1331, 'purchase_value': 129.01, 'discount_value': 12.9, 'applies_discount': True}, {'order_id': 1332, 'purchase_value': 119.94, 'discount_value': 11.99, 'applies_discount': True}, {'order_id': 1333, 'purchase_value': 28.06, 'discount_value': 2.81, 'applies_discount': True}, {'order_id': 1334, 'purchase_value': 18.7, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1335, 'purchase_value': 64.52, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1336, 'purchase_value': 76.75, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1337, 'purchase_value': 171.29, 'discount_value': 0.0, 'applies_discount': False}]"
262,"[{'order_id': 1338, 'purchase_value': 131.37, 'discount_value': 13.14, 'applies_discount': True}, {'order_id': 1339, 'purchase_value': 128.6, 'discount_value': 12.86, 'applies_discount': True}, {'order_id': 1340, 'purchase_value': 195.99, 'discount_value': 19.6, 'applies_discount': True}, {'order_id': 1341, 'purchase_value': 65.9, 'discount_value': 6.59, 'applies_discount': True}, {'order_id': 1342, 'purchase_value': 34.14, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1343, 'purchase_value': 131.84, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1344, 'purchase_value': 88.8, 'discount_value': 8.88, 'applies_discount': True}, {'order_id': 1345, 'purchase_value': 145.96, 'discount_value': 14.6, 'applies_discount': True}, {'order_id': 1346, 'purchase_value': 160.93, 'discount_value': 0.0, 'applies_discount': False}]"
263,"[{'order_id': 1347, 'purchase_value': 134.33, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1348, 'purchase_value': 151.75, 'discount_value': 15.18, 'applies_discount': True}, {'order_id': 1349, 'purchase_value': 195.08, 'discount_value': 19.51, 'applies_discount': True}, {'order_id': 1350, 'purchase_value': 48.96, 'discount_value': 4.9, 'applies_discount': True}, {'order_id': 1351, 'purchase_value': 38.62, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1352, 'purchase_value': 38.52, 'discount_value': 3.85, 'applies_discount': True}]"
264,"[{'order_id': 1353, 'purchase_value': 157.29, 'discount_value': 15.73, 'applies_discount': True}, {'order_id': 1354, 'purchase_value': 183.08, 'discount_value': 18.31, 'applies_discount': True}]"
265,"[{'order_id': 1355, 'purchase_value': 45.11, 'discount_value': 0.0, 'applies_discount': False}]"
266,"[{'order_id': 1356, 'purchase_value': 101.24, 'discount_value': 0.0, 'applies_discount': False}]"
267,"[{'order_id': 1357, 'purchase_value': 68.91, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1358, 'purchase_value': 22.03, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1359, 'purchase_value': 22.41, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1360, 'purchase_value': 185.31, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1361, 'purchase_value': 15.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1362, 'purchase_value': 121.32, 'discount_value': 12.13, 'applies_discount': True}, {'order_id': 1363, 'purchase_value': 74.91, 'discount_value': 0.0, 'applies_discount': False}]"
268,"[{'order_id': 1364, 'purchase_value': 141.33, 'discount_value': 14.13, 'applies_discount': True}, {'order_id': 1365, 'purchase_value': 15.22, 'discount_value': 1.52, 'applies_discount': True}, {'order_id': 1366, 'purchase_value': 102.8, 'discount_value': 10.28, 'applies_discount': True}, {'order_id': 1367, 'purchase_value': 196.88, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1368, 'purchase_value': 60.0, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1369, 'purchase_value': 154.49, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1370, 'purchase_value': 29.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1371, 'purchase_value': 184.56, 'discount_value': 18.46, 'applies_discount': True}, {'order_id': 1372, 'purchase_value': 84.34, 'discount_value': 8.43, 'applies_discount': True}]"
269,"[{'order_id': 1373, 'purchase_value': 125.56, 'discount_value': 0.0, 'applies_discount': False}]"
270,"[{'order_id': 1374, 'purchase_value': 111.13, 'discount_value': 11.11, 'applies_discount': True}, {'order_id': 1375, 'purchase_value': 11.03, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1376, 'purchase_value': 49.46, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1377, 'purchase_value': 81.82, 'discount_value': 8.18, 'applies_discount': True}, {'order_id': 1378, 'purchase_value': 45.36, 'discount_value': 4.54, 'applies_discount': True}, {'order_id': 1379, 'purchase_value': 60.61, 'discount_value': 6.06, 'applies_discount': True}, {'order_id': 1380, 'purchase_value': 51.25, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1381, 'purchase_value': 136.12, 'discount_value': 13.61, 'applies_discount': True}]"
271,"[{'order_id': 1382, 'purchase_value': 34.31, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1383, 'purchase_value': 64.09, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1384, 'purchase_value': 82.59, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1385, 'purchase_value': 108.15, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1386, 'purchase_value': 17.31, 'discount_value': 1.73, 'applies_discount': True}, {'order_id': 1387, 'purchase_value': 196.11, 'discount_value': 19.61, 'applies_discount': True}]"
272,"[{'order_id': 1388, 'purchase_value': 47.91, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1389, 'purchase_value': 99.94, 'discount_value': 9.99, 'applies_discount': True}, {'order_id': 1390, 'purchase_value': 159.25, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1391, 'purchase_value': 53.38, 'discount_value': 5.34, 'applies_discount': True}, {'order_id': 1392, 'purchase_value': 36.12, 'discount_value': 3.61, 'applies_discount': True}, {'order_id': 1393, 'purchase_value': 79.88, 'discount_value': 7.99, 'applies_discount': True}, {'order_id': 1394, 'purchase_value': 174.35, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1395, 'purchase_value': 128.88, 'discount_value': 12.89, 'applies_discount': True}, {'order_id': 1396, 'purchase_value': 61.2, 'discount_value': 6.12, 'applies_discount': True}]"
273,"[{'order_id': 1397, 'purchase_value': 187.11, 'discount_value': 18.71, 'applies_discount': True}, {'order_id': 1398, 'purchase_value': 19.46, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1399, 'purchase_value': 22.15, 'discount_value': 2.21, 'applies_discount': True}, {'order_id': 1400, 'purchase_value': 128.99, 'discount_value': 12.9, 'applies_discount': True}, {'order_id': 1401, 'purchase_value': 133.64, 'discount_value': 13.36, 'applies_discount': True}, {'order_id': 1402, 'purchase_value': 148.21, 'discount_value': 14.82, 'applies_discount': True}, {'order_id': 1403, 'purchase_value': 182.56, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1404, 'purchase_value': 160.13, 'discount_value': 0.0, 'applies_discount': False}]"
274,"[{'order_id': 1405, 'purchase_value': 153.25, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1406, 'purchase_value': 146.35, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1407, 'purchase_value': 152.91, 'discount_value': 15.29, 'applies_discount': True}, {'order_id': 1408, 'purchase_value': 153.12, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1409, 'purchase_value': 193.06, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1410, 'purchase_value': 31.82, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1411, 'purchase_value': 171.18, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1412, 'purchase_value': 197.69, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1413, 'purchase_value': 37.93, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1414, 'purchase_value': 199.9, 'discount_value': 0.0, 'applies_discount': False}]"
275,"[{'order_id': 1415, 'purchase_value': 39.39, 'discount_value': 3.94, 'applies_discount': True}, {'order_id': 1416, 'purchase_value': 136.18, 'discount_value': 13.62, 'applies_discount': True}, {'order_id': 1417, 'purchase_value': 15.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1418, 'purchase_value': 150.81, 'discount_value': 15.08, 'applies_discount': True}, {'order_id': 1419, 'purchase_value': 143.15, 'discount_value': 14.32, 'applies_discount': True}, {'order_id': 1420, 'purchase_value': 37.96, 'discount_value': 3.8, 'applies_discount': True}, {'order_id': 1421, 'purchase_value': 131.1, 'discount_value': 13.11, 'applies_discount': True}, {'order_id': 1422, 'purchase_value': 68.56, 'discount_value': 6.86, 'applies_discount': True}, {'order_id': 1423, 'purchase_value': 50.1, 'discount_value': 5.01, 'applies_discount': True}]"
276,"[{'order_id': 1424, 'purchase_value': 38.22, 'discount_value': 3.82, 'applies_discount': True}, {'order_id': 1425, 'purchase_value': 104.22, 'discount_value': 10.42, 'applies_discount': True}]"
277,"[{'order_id': 1426, 'purchase_value': 173.62, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1427, 'purchase_value': 105.48, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1428, 'purchase_value': 177.78, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1429, 'purchase_value': 103.3, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1430, 'purchase_value': 61.64, 'discount_value': 6.16, 'applies_discount': True}, {'order_id': 1431, 'purchase_value': 102.07, 'discount_value': 0.0, 'applies_discount': False}]"
278,"[{'order_id': 1432, 'purchase_value': 58.28, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1433, 'purchase_value': 115.66, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1434, 'purchase_value': 87.79, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1435, 'purchase_value': 107.97, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1436, 'purchase_value': 23.77, 'discount_value': 2.38, 'applies_discount': True}, {'order_id': 1437, 'purchase_value': 31.44, 'discount_value': 3.14, 'applies_discount': True}, {'order_id': 1438, 'purchase_value': 106.82, 'discount_value': 0.0, 'applies_discount': False}]"
279,"[{'order_id': 1439, 'purchase_value': 98.42, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1440, 'purchase_value': 18.67, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1441, 'purchase_value': 146.26, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1442, 'purchase_value': 134.23, 'discount_value': 0.0, 'applies_discount': False}]"
280,"[{'order_id': 1443, 'purchase_value': 193.55, 'discount_value': 19.36, 'applies_discount': True}, {'order_id': 1444, 'purchase_value': 145.94, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1445, 'purchase_value': 142.07, 'discount_value': 14.21, 'applies_discount': True}]"
281,"[{'order_id': 1446, 'purchase_value': 130.16, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1447, 'purchase_value': 185.33, 'discount_value': 18.53, 'applies_discount': True}, {'order_id': 1448, 'purchase_value': 47.97, 'discount_value': 4.8, 'applies_discount': True}, {'order_id': 1449, 'purchase_value': 29.22, 'discount_value': 2.92, 'applies_discount': True}]"
282,"[{'order_id': 1450, 'purchase_value': 86.2, 'discount_value': 8.62, 'applies_discount': True}, {'order_id': 1451, 'purchase_value': 128.96, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1452, 'purchase_value': 68.68, 'discount_value': 6.87, 'applies_discount': True}, {'order_id': 1453, 'purchase_value': 61.4, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1454, 'purchase_value': 71.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1455, 'purchase_value': 108.64, 'discount_value': 10.86, 'applies_discount': True}, {'order_id': 1456, 'purchase_value': 40.43, 'discount_value': 4.04, 'applies_discount': True}, {'order_id': 1457, 'purchase_value': 163.7, 'discount_value': 16.37, 'applies_discount': True}, {'order_id': 1458, 'purchase_value': 165.45, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 1459, 'purchase_value': 172.05, 'discount_value': 17.21, 'applies_discount': True}]"
283,"[{'order_id': 1460, 'purchase_value': 37.08, 'discount_value': 3.71, 'applies_discount': True}]"
284,"[{'order_id': 1461, 'purchase_value': 139.73, 'discount_value': 13.97, 'applies_discount': True}]"
